hospital_name,last_updated_on,as_of_date,version,hospital_location,hospital_address,license_number|NJ,financial_aid_policy,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,,,,,,,
CARRIER REHAB HOSPITAL LEAVE  PCH,1000000054,CDM,1001,RC,,,Facility,Inpatient,,,2145,858,AETNA,BETTER HEALTH,,,,,,275,1896,25,,,
CARRIER HOSPITAL LEAVE REHAB RTC,1000000055,CDM,1001,RC,,,Facility,Inpatient,,,1870,748,AETNA,BETTER HEALTH,,,,,,275,1896,25,,,
CARRIER THERAPEUTIC LEAVE IRT,1000000059,CDM,1001,RC,,,Facility,Inpatient,,,2365,946,AETNA,BETTER HEALTH,,,,,,275,1896,25,,,
CARRIER HOSPITAL LEAVE IRT,1000000060,CDM,1001,RC,,,Facility,Inpatient,,,2365,946,AETNA,BETTER HEALTH,,,,,,275,1896,25,,,
IMM ADM SARSCV2 30MCG TRS-SUCR 2ND DOSE READY TO USE PFIZER,200052A001,CDM,771,RC,0052A,HCPCS,Facility,Both,,,138,55.2,AETNA,BETTER HEALTH,,,,,,20.01,77.556,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
COLLECTION VENOUS BLOOD VENIPUNCTURE,2036415001,CDM,300,RC,36415,HCPCS,Facility,Both,,,47,18.8,AETNA,BETTER HEALTH,,,,,,6.815,26.414,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX FACIAL BONES COMPLETE MINIMUM 3 VIEWS,2070150001,CDM,320,RC,70150,HCPCS,Facility,Both,,,545,218,AETNA,BETTER HEALTH,,,,,,79.025,79.025,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADIOLOGIC EXAMINATION NECK SOFT TISSUE,2070360001,CDM,320,RC,70360,HCPCS,Facility,Both,,,435,174,AETNA,BETTER HEALTH,,,,,,63.075,63.075,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADIOLOGIC EXAM CHEST SINGLE VIEW,2071045001,CDM,324,RC,71045,HCPCS,Facility,Both,,,429,171.6,AETNA,BETTER HEALTH,,,,,,62.205,62.205,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADIOLOGIC EXAM CHEST 2 VIEWS,2071046001,CDM,324,RC,71046,HCPCS,Facility,Both,,,497,198.8,AETNA,BETTER HEALTH,,,,,,72.065,72.065,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX RIBS UNI W/POSTEROANT CH MINIMUM 3 VIEWS,2071101001,CDM,320,RC,71101,HCPCS,Facility,Both,,,724,289.6,AETNA,BETTER HEALTH,,,,,,104.98,104.98,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX RIBS BI W/POSTEROANT CH MINIMUM 4 VIEWS,2071111001,CDM,320,RC,71111,HCPCS,Facility,Both,,,803,321.2,AETNA,BETTER HEALTH,,,,,,116.435,116.435,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX SPINE CRV COMPL W/OBLQ&FLEX&/XTN STDS,2072052001,CDM,320,RC,72052,HCPCS,Facility,Both,,,858,343.2,AETNA,BETTER HEALTH,,,,,,124.41,124.41,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX SPINE THORACIC 2 VIEWS,2072070001,CDM,320,RC,72070,HCPCS,Facility,Both,,,647,258.8,AETNA,BETTER HEALTH,,,,,,93.815,93.815,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX SPINE THORACIC 3 VIEWS,2072072001,CDM,320,RC,72072,HCPCS,Facility,Both,,,674,269.6,AETNA,BETTER HEALTH,,,,,,97.73,97.73,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX SPINE LUMBOSACRAL MINIMUM 4 VIEWS,2072110001,CDM,320,RC,72110,HCPCS,Facility,Both,,,1019,407.6,AETNA,BETTER HEALTH,,,,,,147.755,147.755,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADIOLOGIC EXAMINATION PELVIS 1/2 VIEWS,2072170001,CDM,320,RC,72170,HCPCS,Facility,Both,,,481,192.4,AETNA,BETTER HEALTH,,,,,,69.745,69.745,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX SACRUM & COCCYX MINIMUM 2 VIEWS,2072220001,CDM,320,RC,72220,HCPCS,Facility,Both,,,560,224,AETNA,BETTER HEALTH,,,,,,81.2,81.2,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX SHOULDER COMPLETE MINIMUM 2 VIEWS,2073030001,CDM,320,RC,73030,HCPCS,Facility,Both,,,688,275.2,AETNA,BETTER HEALTH,,,,,,99.76,99.76,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX ELBOW 2 VIEWS,2073070001,CDM,320,RC,73070,HCPCS,Facility,Both,,,420,168,AETNA,BETTER HEALTH,,,,,,60.9,60.9,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX ELBOW COMPLETE MINIMUM 3 VIEWS,2073080001,CDM,320,RC,73080,HCPCS,Facility,Both,,,578,231.2,AETNA,BETTER HEALTH,,,,,,83.81,83.81,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX FOREARM 2 VIEWS,2073090001,CDM,320,RC,73090,HCPCS,Facility,Both,,,578,231.2,AETNA,BETTER HEALTH,,,,,,83.81,83.81,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX WRIST 2 VIEWS,2073100001,CDM,320,RC,73100,HCPCS,Facility,Both,,,477,190.8,AETNA,BETTER HEALTH,,,,,,69.165,69.165,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX WRIST COMPLETE MINIMUM 3 VIEWS,2073110001,CDM,320,RC,73110,HCPCS,Facility,Both,,,600,240,AETNA,BETTER HEALTH,,,,,,87,87,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX HAND 2 VIEWS,2073120001,CDM,320,RC,73120,HCPCS,Facility,Both,,,550,220,AETNA,BETTER HEALTH,,,,,,79.75,79.75,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX HAND MINIMUM 3 VIEWS,2073130001,CDM,320,RC,73130,HCPCS,Facility,Both,,,550,220,AETNA,BETTER HEALTH,,,,,,79.75,79.75,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX HIP UNILATERAL WITH PELVIS 2-3 VIEWS,2073502001,CDM,320,RC,73502,HCPCS,Facility,Both,,,473,189.2,AETNA,BETTER HEALTH,,,,,,68.585,68.585,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX HIPS BILATERAL WITH PELVIS MINIMUM 5 VIEWS,2073523001,CDM,320,RC,73523,HCPCS,Facility,Both,,,781,312.4,AETNA,BETTER HEALTH,,,,,,113.245,113.245,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADIOLOGIC EXAMINATION FEMUR MINIMUM 2 VIEWS,2073552001,CDM,320,RC,73552,HCPCS,Facility,Both,,,477,190.8,AETNA,BETTER HEALTH,,,,,,69.165,69.165,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADIOLOGIC EXAMINATION KNEE 1/2 VIEWS,2073560001,CDM,320,RC,73560,HCPCS,Facility,Both,,,549,219.6,AETNA,BETTER HEALTH,,,,,,79.605,79.605,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADIOLOGIC EXAMINATION KNEE 3 VIEWS,2073562001,CDM,320,RC,73562,HCPCS,Facility,Both,,,688,275.2,AETNA,BETTER HEALTH,,,,,,99.76,99.76,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADIOLOGIC EXAM KNEE COMPLETE 4/MORE VIEWS,2073564001,CDM,320,RC,73564,HCPCS,Facility,Both,,,809,323.6,AETNA,BETTER HEALTH,,,,,,117.305,117.305,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADIOLOGIC EXAMINATION TIBIA & FIBULA 2 VIEWS,2073590001,CDM,320,RC,73590,HCPCS,Facility,Both,,,561,224.4,AETNA,BETTER HEALTH,,,,,,81.345,81.345,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADIOLOGIC EXAMINATION ANKLE 2 VIEWS,2073600001,CDM,320,RC,73600,HCPCS,Facility,Both,,,485,194,AETNA,BETTER HEALTH,,,,,,70.325,70.325,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX ANKLE COMPLETE MINIMUM 3 VIEWS,2073610001,CDM,320,RC,73610,HCPCS,Facility,Both,,,633,253.2,AETNA,BETTER HEALTH,,,,,,91.785,91.785,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADIOLOGIC EXAMINATION FOOT 2 VIEWS,2073620001,CDM,320,RC,73620,HCPCS,Facility,Both,,,502,200.8,AETNA,BETTER HEALTH,,,,,,72.79,72.79,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX FOOT COMPLETE MINIMUM 3 VIEWS,2073630001,CDM,320,RC,73630,HCPCS,Facility,Both,,,649,259.6,AETNA,BETTER HEALTH,,,,,,94.105,94.105,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX CALCANEUS MINIMUM 2 VIEWS,2073650001,CDM,320,RC,73650,HCPCS,Facility,Both,,,451,180.4,AETNA,BETTER HEALTH,,,,,,65.395,65.395,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX TOE MINIMUM 2 VIEWS,2073660001,CDM,320,RC,73660,HCPCS,Facility,Both,,,495,198,AETNA,BETTER HEALTH,,,,,,71.775,71.775,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADIOLOGIC EXAM ABDOMEN 1 VIEW,2074018001,CDM,320,RC,74018,HCPCS,Facility,Both,,,473,189.2,AETNA,BETTER HEALTH,,,,,,68.585,68.585,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADIOLOGIC EXAM ABDOMEN 2 VIEWS,2074019001,CDM,320,RC,74019,HCPCS,Facility,Both,,,589,235.6,AETNA,BETTER HEALTH,,,,,,85.405,85.405,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
GLUC BLD GLUC MNTR DEV CLEARED FDA SPEC HOME USE,2082962001,CDM,301,RC,82962,HCPCS,Facility,Both,,,83,33.2,AETNA,BETTER HEALTH,,,,,,2.34,46.646,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
GONADOTROPIN CHORIONIC QUALITATIVE POC,2084703001,CDM,300,RC,84703,HCPCS,Facility,Both,,,182,72.8,AETNA,BETTER HEALTH,,,,,,9.1,102.284,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
POC SARS-COV-2 COVID-19 BY ANTIGEN DETECTION,2087426001,CDM,300,RC,87426,HCPCS,Facility,Both,,,124,49.6,AETNA,BETTER HEALTH,,,,,,14.13,69.688,18,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
PSYCHIATRIC DIAGNOSTIC EVALUATION,2090791001,CDM,900,RC,90791,HCPCS,Facility,Both,,,790,316,AETNA,BETTER HEALTH,,,,,,114.55,395,14,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
PSYCHIATRIC DIAGNOSTIC EVAL W/MEDICAL SERVICES,2090792001,CDM,900,RC,90792,HCPCS,Facility,Both,,,836,334.4,AETNA,BETTER HEALTH,,,,,,121.22,608,12,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
PSYCHOTHERAPY W/PATIENT 30 MINUTES,2090832001,CDM,914,RC,90832,HCPCS,Facility,Outpatient,,,452,180.8,AETNA,BETTER HEALTH,,75.03,,,,65.54,328.8,14,Other,Per Visit,
PSYCHOTHERAPY W/PATIENT 45 MINUTES,2090834001,CDM,914,RC,90834,HCPCS,Facility,Outpatient,,,539,215.6,AETNA,BETTER HEALTH,,75.03,,,,75.03,392,14,Other,Per Visit,
PSYCHOTHERAPY W/PATIENT 60 MINUTES,2090837001,CDM,914,RC,90837,HCPCS,Facility,Outpatient,,,605,242,AETNA,BETTER HEALTH,,75.03,,,,75.03,440,14,Other,Per Visit,
FAMILY PSYCHOTHERAPY W/PATIENT PRESENT 50 MINS,2090847001,CDM,916,RC,90847,HCPCS,Facility,Outpatient,,,497,198.8,AETNA,BETTER HEALTH,,,,,,60,361.6,14,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
GROUP PSYCHOTHERAPY,2090853001,CDM,915,RC,90853,HCPCS,Facility,Outpatient,,,413,165.2,AETNA,BETTER HEALTH,,27.5,,,,27.5,300,14,Other,Per Visit,
ELECTROCONVULSIVE THERAPY,2090870001,CDM,901,RC,90870,HCPCS,Facility,Both,,,1870,748,AETNA,BETTER HEALTH,,450,,,,271.15,1783,12,Other,Per Visit,
PB ELECTROCONVULSIVE THERAPY,2090870002,CDM,901,RC,90870,HCPCS,Facility,Both,,,703,281.2,AETNA,BETTER HEALTH,,,,,,101.935,453,11,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
ECG ROUTINE ECG W/LEAST 12 LDS TRCG ONLY W/O I&R,2093005001,CDM,730,RC,93005,HCPCS,Facility,Both,,,359,143.6,AETNA,BETTER HEALTH,,,,,,52.055,267.096,18,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
APPLICATION MODALITY 1/> AREAS HOT/COLD PACKS,2097010001,CDM,420,RC,97010,HCPCS,Facility,Both,,,66,26.4,AETNA,BETTER HEALTH,,,,,,9.57,9.57,18,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
THERAPEUTIC PX 1/> AREAS EACH 15 MIN EXERCISES,2097110001,CDM,420,RC,97110,HCPCS,Facility,Both,,,231,92.4,AETNA,BETTER HEALTH,,,,,,33.495,33.495,18,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
THER PX 1/> AREAS EACH 15 MIN NEUROMUSC REEDUCAJ,2097112001,CDM,420,RC,97112,HCPCS,Facility,Both,,,200,80,AETNA,BETTER HEALTH,,,,,,29,29,18,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
THER PX 1/> AREAS EA 15 MIN GAIT TRAINJ W/STAIR,2097116001,CDM,420,RC,97116,HCPCS,Facility,Both,,,193,77.2,AETNA,BETTER HEALTH,,,,,,27.985,27.985,18,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
THER PX 1/> AREAS EACH 15 MINUTES MASSAGE,2097124001,CDM,420,RC,97124,HCPCS,Facility,Both,,,198,79.2,AETNA,BETTER HEALTH,,,,,,28.71,28.71,18,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
MANUAL THERAPY TQS 1/> REGIONS EACH 15 MINUTES,2097140001,CDM,420,RC,97140,HCPCS,Facility,Both,,,202,80.8,AETNA,BETTER HEALTH,,,,,,29.29,29.29,18,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
THERAPEUTIC PROCEDURES GROUP 2/> INDIVIDUALS,2097150001,CDM,420,RC,97150,HCPCS,Facility,Both,,,150,60,AETNA,BETTER HEALTH,,,,,,21.75,21.75,18,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
PHYSICAL THERAPY EVALUATION LOW COMPLEX 20 MINS,2097161001,CDM,424,RC,97161,HCPCS,Facility,Both,,,396,158.4,AETNA,BETTER HEALTH,,,,,,57.42,57.42,18,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
PHYSICAL THERAPY EVALUATION MOD COMPLEX 30 MINS,2097162001,CDM,424,RC,97162,HCPCS,Facility,Both,,,453,181.2,AETNA,BETTER HEALTH,,,,,,65.685,65.685,18,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
PHYSICAL THERAPY EVALUATION HIGH COMPLEX 45 MINS,2097163001,CDM,424,RC,97163,HCPCS,Facility,Both,,,611,244.4,AETNA,BETTER HEALTH,,,,,,88.595,88.595,18,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
THER ACTV DIR PT CONTACT BY PROVIDER EACH 15 MIN,2097530001,CDM,420,RC,97530,HCPCS,Facility,Both,,,188,75.2,AETNA,BETTER HEALTH,,,,,,27.26,27.26,18,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
SELF-CARE/HOME MGMT TRAINING EACH 15 MINUTES,2097535001,CDM,420,RC,97535,HCPCS,Facility,Both,,,196,78.4,AETNA,BETTER HEALTH,,,,,,28.42,28.42,18,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
ORTHOTICS MGMT & TRAINJ INITIAL ENCTR EA 15 MINS,2097760001,CDM,420,RC,97760,HCPCS,Facility,Both,,,250,100,AETNA,BETTER HEALTH,,,,,,36.25,36.25,18,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
ORTHOTICS/PROSTH MGMT &/TRAINJ SBSQ ENCTR 15 MIN,2097763001,CDM,420,RC,97763,HCPCS,Facility,Both,,,206,82.4,AETNA,BETTER HEALTH,,,,,,29.87,29.87,18,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
OFFICE/OUTPATIENT NEW LOW MDM 30-44 MINUTES,2099203001,CDM,900,RC,99203,HCPCS,Facility,Both,,,523,209.2,AETNA,BETTER HEALTH,,,,,,60.06,261.5,14,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
OFFICE/OUTPATIENT ESTABLISHED MOD MDM 30-39 MIN,2099214001,CDM,900,RC,99214,HCPCS,Facility,Both,,,495,198,AETNA,BETTER HEALTH,,,,,,53.25,247.5,14,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
1ST HOSPITAL IP/OBS CARE SF/LOW MDM 40 MINUTES,2099221001,CDM,900,RC,99221,HCPCS,Facility,Both,,,164,65.6,AETNA,BETTER HEALTH,,,,,,23.78,270.5,14,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
INITIAL HOSPITAL CARE/DAY 30 MINUTES,2099221001A,CDM,900,RC,99221,HCPCS,Facility,Both,,,164,65.6,AETNA,BETTER HEALTH,,,,,,23.78,270.5,14,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
SBSQ HOSPITAL CARE/DAY 15 MINUTES,2099231001,CDM,900,RC,99231,HCPCS,Facility,Both,,,103,41.2,AETNA,BETTER HEALTH,,,,,,14.935,104.32,14,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
SBSQ HOSPITAL IP/OBS CARE SF/LOW MDM 25 MINUTES,2099231001A,CDM,900,RC,99231,HCPCS,Facility,Both,,,103,41.2,AETNA,BETTER HEALTH,,,,,,14.935,104.32,14,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
SBSQ HOSPITAL CARE/DAY 25 MINUTES,2099232001,CDM,900,RC,99232,HCPCS,Facility,Both,,,133,53.2,AETNA,BETTER HEALTH,,,,,,19.285,191.76,14,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
SBSQ HOSPITAL IP/OBS CARE MOD MDM 35 MINUTES,2099232001A,CDM,900,RC,99232,HCPCS,Facility,Both,,,133,53.2,AETNA,BETTER HEALTH,,,,,,19.285,191.76,14,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
HOSPITAL DISCHARGE DAY MANAGEMENT 30 MIN/<,2099238001,CDM,900,RC,99238,HCPCS,Facility,Both,,,121,48.4,AETNA,BETTER HEALTH,,,,,,17.545,194.29,14,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
ADMIN. INFLUENZA VIRUS VACCINE,20G0008001,CDM,771,RC,G0008,HCPCS,Facility,Both,,,99,39.6,AETNA,BETTER HEALTH,,,,,,14.355,14.355,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
ELECTRIC STIM UNATTENDED,20G0283001,CDM,420,RC,G0283,HCPCS,Facility,Both,,,147,58.8,AETNA,BETTER HEALTH,,,,,,21.315,21.315,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
ALCOHOL AND/OR DRUG SERVICES IOP,20H0015001,CDM,906,RC,H0015,HCPCS,Facility,Outpatient,,,827,330.8,AETNA,BETTER HEALTH,,,,,,109.48,387,24,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
ALCOHOL AND/OR DRUG SERVICES IOP,20H0015001A,CDM,915,RC,H0015,HCPCS,Facility,Outpatient,,,827,330.8,AETNA,BETTER HEALTH,,27.5,,,,27.5,413.5,10,Other,Per Visit,
ALCOHOL AND/OR DRUG SERVICES IOP,20H0015001B,CDM,916,RC,H0015,HCPCS,Facility,Outpatient,,,827,330.8,AETNA,BETTER HEALTH,,,,,,109.48,413.5,11,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
INTENSIVE OUTPATIENT PSYCHIATRIC SERVICES PER DIEM,20S9480001,CDM,911,RC,S9480,HCPCS,Facility,Outpatient,,,1023,409.2,AETNA,BETTER HEALTH,,,,,,148.335,511.5,6,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
CRISIS INTERVENTION MENTAL HEALTH SERVICES PER HOUR,20S9484001,CDM,911,RC,S9484,HCPCS,Facility,Outpatient,,,30,12,AETNA,BETTER HEALTH,,,,,,4.35,15,5,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
